headline,inLanguage,datePublished,reviewBody,ratingValue,Company
Fin service og god mad..,da,2018-08-10T21:49:30Z,Fin service og god mad... billigt og passer til prisen. Personalet gør hvad de kan for at hjælpe 😍,5,www.jensens.com
Man kan jo ikke klage over servicen,da,2018-08-10T20:35:13Z,"Man kan jo ikke klage over servicen, for der var ingen.
At vente 20 min på at bestille, for at ende med selv at måtte gå ind og bede om at få lov at afgive sin ordre, er bestemt ikke okay.
 At det så derefter tager yderligere 15 min at lave maden (forret i vores tilfælde) er heller ikke noget vi var vildt imponeret over. 
Alt i alt en rigtig kedelig oplevelse hos Jensens i Waves. 
De to stjerner er KUN fordi maden er udemærket til prisen, på trods af at man først efter forretten kunne informere om manglen på  de ønskede kartofler.",2,www.jensens.com
Lækker mad og gode tjenere,da,2018-08-10T19:21:25Z,Super lækker mad og rigtig venlige tjenere. Det er altid rart at besøge Jensens Bøfhus,5,www.jensens.com
Stamkunder grundet ‘farmers choice’,da,2018-08-10T18:54:10Z,"Min kæreste og jeg er nu kommet her en del gange det sidste års tid, og der er en ret som næsten altid rammer lige i øjet, farmers choice. I dag fik jeg en burger, som var rigtig god, men lidt tør (derfor de 4 stjerner). Så næste gang bliver det nok klassikeren igen.
Kan varmt anbefales hvis en hyggelig og ikke alt for dyr aften ønskes.",4,www.jensens.com
Rigtig lækkert mad,da,2018-08-09T18:09:30Z,"Rigtig lækkert mad, og dejlig betjening af Amanda fra Jensens Bøfhus i Hillerød;))",5,www.jensens.com
Hende der Amanda laver en super service…,da,2018-08-09T18:06:10Z,Hende der Amanda laver en super service og ser brand godt ud mens hun gør det,5,www.jensens.com
God mad og venlig betjening!,da,2018-08-09T18:05:31Z,God mad og venlig betjening!,5,www.jensens.com
God service og godt mad,da,2018-08-09T16:31:44Z,"God service og godt mad, glade tjenere. Generelt en god oplevelse 😊",4,www.jensens.com
Jeg havde bestilt bord på Jensens…,da,2018-08-09T16:13:25Z,"Jeg havde bestilt bord på Jensens bøfhus i Læssøgade igår til 17:30 da vi havde barn med der skulle op og skole, jeg havde bedt om et bord udenfor på den eneste betingelse at det skulle ikke være i direkte sol. Vi får et udmærket bord under et tag der kan skydes tilbage, men venter så derefter 30 minutter før vi selv kalder på en for at høre om vi ikke kan få lov at bestille. Kort efter trækker det op til uvejr og det hele begynder at blæse som får personalet til at fjerne halvtaget  (da det nok ellers ville gå i stykker) Derefter vælger vi at be om et bord indenfor da himlen blir sort og vi gerne vil spise i tørvejr (så skøre er vi ja) der går yderligere tid da vi er en del der nu venter på bord indenfor og vi kan høre mange sure mennesker i køkkenet, vi tror at chefen var iblandt, da vores tjener kommer tilbage får vi at vide at vi ikke kan få et bord indenfor da dét har vi ikke bestilt og det er enten det eller ingenting. Vi siger så at vi jo ikke vil sidde ude hvis det begynder at regne hvor svaret frækt lyder ""det blir IKKE regnvejr"" vi vælger derefter at gå og vi er kun lige gået ud da det begynder at regne. Vi kunne nu godt tænke os at vide hvad der skete med de andre gæster der måtte blive udenfor i regnen. Vi valgte dog at ta ud i Rosengårdcenteret på Jensens hvor vi fik sød betjening, ok hurtig mad (der var mange gæster) og undervejs blev der spurgt ind til os, alt i alt en god afslutning på en dårlig start",1,www.jensens.com
Meget lang ventetid..!,da,2018-08-08T17:19:29Z,"Var på besøg på Jensens bøfhus i Waves i Hundige, sammen med min kone og datter på 1,5 år vi ankommer kl 17:00 og beder om et bord, vi for besked på vi lige skal vente 10 min, selv om restauranten kun er cirka 20-25 % fuld, men fair nok vi venter 15 min senere henvender jeg mig selv, og for af vide at der nu er et bord til os,  vi tager plads og finder lyn hurtigt ud af hvad vi skal have, da min datter er meget sulten, vil vi gerne bestille hurtigt, men der går nu cirka 15-20 min før en tjener kommer for at tage vores bestilling, vores drikke vare kommer først efter 10 min efter bestilling og vores forret plus mad til vores datter, kom kl 18:15, altså 1 time og 15 min efter vores ankomst, vores datters tålmodighed var forståelig nok opbrugt, hvilket betød vores stund på Jensen sket ikke var hyggeligt, til sidst spørg jeg tjeneren om de kan være bekendt med at tage fuld pris, her til svare hun: hun snakker med sin leder om det og kom tilbage og fortalte hun ville slette vires drikkevare og maden til vores datter der afligevel kun kostede 25,- grundet tilbud, men det gør da at Inge giver 2 stjerner i stedet for 1.",2,www.jensens.com
